id;descripcion
1;ABOGACIA  / DERECHO
2;ACTUARIA
3;ACUICULTURA
4;ADMINISTRACION
5;AGRIMENSOR
6;AGRONEGOCIOS
7;ANTROPOLOGIA
8;ARQUEOLOGIA
9;ARQUITECTURA
10;ASISTENTE DE TRAFICO
11;ASTRONOMIA
12;BACTERIOLOGIA
13;BIBLIOTECOLOGIA
14;BIOANALISTA
15;BIOFISICA
16;BIOLOGIA
17;BIOQUIMICA
18;BIOTECNOLOGIA
19;CARTOGRAFIA
20;CIENCIAS ESTADISTICAS
21;CIENCIAS FISCALES
22;CIENCIAS POLITICAS
23;COMERCIO INTERNACIONAL
24;COMPRAS INTERNACIONALES
25;COMPUTACION
26;COMUNICACION AUDIVISUAL
27;COMUNICACION SOCIAL
28;CONSTRUCCION CIVIL
29;CONTADOR PUBLICO
30;DIBUJO TECNICO
31;DISEÑADOR DE MODA
32;DISEÑADOR GRAFICO
33;DISEÑADOR INDUSTRIAL
34;ECOLOGIA
35;ECONOMIA
36;EDUCACION
37;ELECTRICIDAD
38;ELECTRONICA
39;ENFERMERIA
40;ESTADISTICA
41;ESTUDIOS INTERNACIONALES
42;ESTUDIOS LIBERALES
43;FARMACIA
44;FILOSOFIA
45;FISIOTERAPIA
46;FONOAUDIOLOGIA
47;GASTRONOMIA
48;GEOFISICA
49;GEOGRAFIA
50;GEOLOGIA
51;HIDRAULICA
52;HISTORIA
53;HOTELERIA Y TURISMO
54;INFORMATICA
55;INGENIERO
56;KINESIOLOGO
57;MATEMATICAS
58;MECANICA
59;MEDICINA
60;MERCADEO / COMERCIALIZACION
61;MERCANTE
62;MICROBIOLOGIA
63;MILITAR
64;NUTRICION
65;OCEANOGRAFIA
66;ODONTOLOGIA
67;PAISAJISMO
68;PRODUCCION INDUSTRIAL
69;PSICOLOGIA
70;PSICOPEDAGOGIA
71;PUBLICIDAD
72;QUIMICA
73;RELACIONES INDUSTRIALES
74;RELACIONES INTERNACIONALES
75;RELACIONES PUBLICAS
76;RIEGOS Y SEGUROS
77;SOCIOLOGIA
78;TELECOMUNICACIONES
79;TEOLOGIA
80;URBANISMO
81;VETERINARIA
82;OTRO
