id;descripcion
0; S/P
1;001/1960
2;002/1961
3;003/1962
4;004/1963
5;005/1964
6;006/1965
7;007/1966
8;008/1967
9;009/1968
10;010/1969
11;011/1970
12;012/1971
13;013/1972
14;014/1973
15;015/1974
16;016/1975
17;017/1976
18;018/1977
19;019/1978
20;020/1979
21;021/1980
22;022/1981
23;023/1982
24;024/1983
25;025/1984
26;026/1985
27;027/1986
28;028/1987
29;029/1988
30;030/1989
31;031/1990
32;032/1991
33;033/1992
34;034/1993
35;035/1994
36;036/1995
37;037/1996
38;038/1997
39;039/1998
40;040/1999
41;041/2000
42;042/2001
43;043/2002
44;044/2003
45;045/2004
46;046/2005
47;047/2006
48;048/2007
49;049/2008
50;050/2009
51;051/2010
52;052/2011
53;053/2012
54;054/2013
55;055/2014
56;056/2015
57;057/2016
58;058/2017
59;059/2018
60;060/2019
61;061/2020
62;062/2021
63;063/2022
64;064/2023
65;065/2024
